ID,Q1,A1,T1,Q2,A2,T2,Q3,A3,T3,Q4,A4,T4,Q5,A5,T5
12,誰在耶穌釘十字架時，站在旁邊看守？,百夫長,馬太福音27:54,耶穌被釘十字架的地方叫什麼？,各各他,馬太福音27:33,「但以理書」屬於舊約哪一類書？,大先知書,但以理書1:1,浪子回頭時，父親吩咐宰殺的慶祝牲畜是什麼？,肥牛,路加福音 15:23,不潔淨的動物每種帶幾隻進方舟？,2,創世記 7:2
13,誰在摩利亞山上築壇，願意獻以撒為祭？,亞伯拉罕,創世記22:9-12,約拿坐船想逃往哪個遠方港口？,他施,約拿書1:3,「窄門」和「窄路」的教導記在哪一卷福音書？,馬太福音,馬太福音7:14,東方博士獻上什麼預表耶穌的王權？,黃金,馬太福音 2:11,挪亞出方舟後，獻上幾種潔淨的牲畜為燔祭？,4,創世記 8:20
14,誰在五旬節被聖靈充滿，向眾人講道？,彼得,使徒行傳2:14-16,大衛在希伯崙作王七年，那是哪座城？,希伯崙,撒母耳記下2:11,「以利亞在迦密山降火，證明耶和華是神。」出自哪一卷書？,列王紀上,列王紀上18:38,聰明的童女器皿中有什麼？,油,馬太福音 25:4,亞伯拉罕為所多瑪祈求時，問神若城中有幾十個義人是否還滅城？,10,創世記 18:32
15,誰用趕牛的棍子擊殺六百非利士人？,珊迦,士師記3:31,保羅在以弗所時，銀匠底米丟引起騷動，那城是？,以弗所,使徒行傳19:23-29,「耶穌說：『我要求父，父就另外賜給你們一位保惠師。』」出自哪一卷福音書？,約翰福音,約翰福音14:16,启示录中，七靈如同什麼在寶座前點著？,火燈,啟示錄 4:5,以撒為雅各祝福時，雅各穿了幾隻山羊羔皮在手上？,2,創世記 27:16
16,誰在耶穌受難時，削掉大祭司僕人的耳朵？,彼得,約翰福音18:10,耶穌復活後向兩個門徒顯現，他們正往哪個村莊去？,以馬忤斯,路加福音24:13,「我栽種了，亞波羅澆灌了，惟有神叫他生長。」出自哪一卷書？,哥林多前書,哥林多前書3:6,上帝在荊棘火焰中向摩西顯現的植物是什麼？,荊棘,出埃及記 3:2,雅各與以掃重逢時，送他幾群牲畜作禮物？,5,創世記 32:13–20
17,誰在伯大尼用極貴的香膏抹耶穌的腳？,馬利亞,約翰福音12:3,保羅在安提阿教導一年，那城是？,安提阿,使徒行傳11:26,「耶穌說：『我在他們裡面，你在我裡面。』」出自哪一卷福音書？,約翰福音,約翰福音17:23,耶穌騎驢進耶路撒冷時，所騎的牲畜是什麼？,驢,馬太福音 21:5,約瑟解酒政的夢，說他幾日後官復原職？,3,創世記 40:12
18,誰造金牛犢，對百姓說「這就是領你出埃及的神」？,亞倫,出埃及記32:4,耶穌在哪座城被稱為“先知”卻遭厭棄？,拿撒勒,路加福音4:24,「耶穌說：『我與父原為一。』」出自哪一卷福音書？,約翰福音,約翰福音10:30,以利沙使斧頭浮水時，掉入水中的工具是什麼？,斧頭,列王紀下 6:5,膳長的夢中，幾日後被掛起來？,3,創世記 40:19
19,誰在基遍求神使日頭停住？,約書亞,約書亞記10:12,亞伯拉罕在別是巴栽種樹木後，敬拜哪位神？,別是巴,創世記21:33,「今日你要同我在樂園裡了。」耶穌對誰說？,強盜,路加福音23:43,七位天使所吹、宣告災禍的樂器叫什麼？,号,啟示錄 8:2,以色列人出埃及後，在曠野吃嗎哪共多少年？,40,出埃及記 16:35
20,誰在波提乏家中抵擋主母的引誘？,約瑟,創世記39:7-12,保羅在哥林多寫了哪幾封書信？,哥林多,羅馬書1:1；哥林多前書1:1,「父啊，赦免他們！因為他們所做的，他們不曉得。」出自哪一卷福音書？,路加福音,路加福音23:34,雅各騙取以掃祝福時，利百加用什麼包在他手上？,山羊羔皮,創世記 27:16,摩西打發十二探子窺探迦南地，其中有幾人報惡信？,10,民數記 13:30–33; 14:2–4
21,誰是提摩太的母親，與女兒一同信主？,友尼基,提摩太後書1:5,保羅在以弗所教會三年，那城是？,以弗所,使徒行傳20:31,「要穿戴神所賜的全副軍裝。」出自哪一卷書？,以弗所書,以弗所書6:11,路得在波阿斯田裡拾取的農作物是什麼？,麥穗,路得記 2:2,以色列人在曠野漂流共多少年？,40,民數記 14:33
22,誰被保羅稱為「照我們共信之道作我真兒子」？,提多,提多書1:4,大衛在希伯崙作王時，那城是哪個支派的地業？,猶大,撒母耳記下2:1,「以賽亞預言：『祂誠然擔當我們的憂患。』」出自哪一卷書？,以賽亞書,以賽亞書53:4,但以理被扔進的野獸牢獄叫什麼？,獅子坑,但以理書 6:7,贖罪日時，大祭司要為百姓獻幾隻公山羊作贖罪祭？,1,利未記 16:15
23,誰原是逃奴，後來成為保羅親愛的弟兄？,阿尼西母,腓利門書1:10-16,耶穌在哪座城附近的伯大尼長大麻瘋？,伯大尼,馬太福音26:6,「你們就是我的見證。」這話出現在哪一卷書？,使徒行傳,使徒行傳1:8,她們器皿中所盛、象徵聖靈預備的液體是什麼？,油,馬太福音 25:4,會幕的豎板共有多少塊？,48,出埃及記 26:22–25
24,誰在迦密山築壇，求神降火燒盡祭物？,以利亞,列王紀上18:30-38,但以理在巴比倫的哪座宮殿見到牆上字跡？,巴比倫,但以理書5:1-5,「大衛為掃羅和約拿單作哀歌。」出自哪一卷書？,撒母耳記下,撒母耳記下1:17-18,耶穌在客西馬尼園，彼得削掉馬勒古耳朵的武器是什麼？,刀,約翰福音 18:10,金燈臺有幾盞燈？,7,出埃及記 25:37
25,誰在母親腹中就與兄弟抓鬥，後來用詭計取得祝福？,雅各,創世記25:22-26；27:18-29,保羅在以弗所時，有人把什麼書燒掉？,以弗所,使徒行傳19:19,「貪財是萬惡之根。」出自哪一卷書？,提摩太前書,提摩太前書6:10,以利亞升天時，以利沙拾起他的什麼？,外衣,列王紀下 2:13,陳設餅共有幾塊，分為兩行？,12,利未記 24:6
26,誰是士師，因許願而獻上自己女兒？,耶弗他,士師記11:30-39,哪座城因喇合藏探子而得保存？,耶利哥,約書亞記6:25,「投靠耶和華」比倚賴什麼更可靠？,世人,詩篇118:8,启示录中，新耶路撒冷的牆是用什麼石頭建造的？,碧玉,啟示錄 21:18,所羅門建殿時，殿前的廊子長多少肘？,20,列王紀上 6:3
27,誰是亞伯拉罕的妾，生下以實瑪利？,夏甲,創世記16:15,亞伯拉罕在摩利亞山築壇獻以撒，那山後來成為哪座城的一部分？,耶路撒冷,創世記22:2；歷代志下3:1,「耶穌說：『我來了，是要叫羊得生命，並且得的更豐盛。』」出自哪一卷福音書？,約翰福音,約翰福音10:10,耶穌在十個童女比喻中，愚拙的童女缺什麼？,油,馬太福音 25:3,所羅門用多少年建造耶和華的殿？,7,列王紀上 6:38
28,誰獲波斯王准許，回耶路撒冷重建城牆？,尼希米,尼希米記2:5-8,保羅最後被帶到哪座帝國京城受審？,羅馬,使徒行傳28:16,「耶穌說：『你們多結果子，我父就因此得榮耀。』」出自哪一卷福音書？,約翰福音,約翰福音15:8,耶穌斷氣時，聖殿的什麼從上到下裂為兩半？,幔子,馬太福音 27:51,又用多少年建造自己的宮殿？,13,列王紀上 7:1
29,誰在巴別塔事件後，被稱為「分開全地的人」？,法勒,創世記10:25,以利亞在別是巴留僕人後獨行，那城是？,別是巴,列王紀上19:3,「神愛世人，甚至將祂的獨生子賜給他們。」出自哪一卷書？,約翰福音,約翰福音3:16,新耶路撒冷不需要日月，因有什麼照耀？,神榮耀,啟示錄 21:23,以利亞在迦密山築壇，用多少塊石頭代表以色列支派？,12,列王紀上 18:31
30,誰是亞伯拉罕的兄弟，哈蘭的父親？,拿鶴,創世記11:27,以色列人領受律法前扎營的曠野是哪？,西乃曠野,出埃及記19:2,「以撒的出生是因著應許。」這事記在哪一卷書？,創世記,創世記21:1-2,愚拙人把房子蓋在什麼上，雨淋水沖就倒塌了？,沙土,馬太福音 7:26,以利亞升天時，有幾輛火馬車將他與以利沙分開？,1,列王紀下 2:11
31,誰下令殺害伯利恆兩歲以下男嬰？,大希律,馬太福音2:16,耶穌在哪座城附近的伯大尼受膏於西門家？,耶路撒冷,馬太福音26:6,「回答柔和，使怒消退。」出自哪一卷書？,箴言,箴言15:1,大祭司胸前所戴、內藏烏陵土明的裝飾叫什麼？,胸牌,出埃及記 28:30,以利沙吩咐乃縵在約旦河沐浴幾次？,7,列王紀下 5:10
32,哪位先祖與侄兒羅得分開土地？,亞伯拉罕,創世記13:8-9,大衛作王統一以色列的首都是哪座城？,耶路撒冷,撒母耳記下5:5,「神使那無罪的，替我們成為罪。」出自哪一卷書？,哥林多後書,哥林多後書5:21,先知耶利米為證明猶大必歸回，所購地的法律文件叫什麼？,地契,耶利米書 32:10,但以理一日禱告幾次，面向耶路撒冷？,3,但以理書 6:10
33,誰是掃羅的女兒，幫助大衛逃脫追殺？,米甲,撒母耳記上19:12,保羅在腓立比為呂底亞施洗，那城是？,腓立比,使徒行傳16:14-15,「以斯拉在耶路撒冷宣讀律法。」出自哪一卷書？,尼希米記,尼希米記8:1,耶穌口中出來、象徵神話語的利器是什麼？,劍,啟示錄 1:16,尼布甲尼撒的金像高多少肘？,60,但以理書 3:1
34,誰派探子窺探耶利哥，並接待喇合的使者？,約書亞,約書亞記2:1,保羅在特羅亞見異象後，渡海去了哪個省？,馬其頓,使徒行傳16:10,「鹽若失了味」，就只好怎樣？,丟在外面,馬太福音5:13,以利沙幫助寡婦時，她所倒出的神奇液體是什麼？,油,列王紀下 4:6,尼布甲尼撒的金像寬多少肘？,6,但以理書 3:1
35,誰又名利未，是十二使徒之一？,馬太,馬可福音2:14,彼得在約帕見異象後去了哪個外邦人家？,凱撒利亞,使徒行傳10:24,「行公義，好憐憫，存謙卑的心，與你的神同行。」出自哪一卷書？,彌迦書,彌迦書6:8,同樣，他帶來的另一種香料是什麼？,沉香,約翰福音 19:39,約伯受試煉後，朋友來看他，共有幾位？,3,約伯記 2:11
36,誰是大祭司，說「一人替百姓死是有益的」？,該亞法,約翰福音11:50,歌利亞是哪一座非利士城的巨人？,迦特,撒母耳記上17:4,「耶穌在客西馬尼園禱告：『不要照我的意思，只要照你的意思。』」出自哪一卷福音書？,馬太福音,馬太福音26:39,耶穌在格拉森，群鬼所進入的動物是什麼？,豬,馬可福音 5:13,約伯恢復後，又得幾個女兒？,3,約伯記 42:13
37,誰又稱約翰，是巴拿巴的表弟？,馬可,歌羅西書4:10,耶穌降生的城市是哪一座？,伯利恆,路加福音2:4-7,「清心的人有福了」，因為他們必怎樣？,得見神,馬太福音5:8,耶穌被兵丁戲弄時，他們給祂披上的皇室顏色外袍是什麼？,紫袍,馬可福音 15:17,約伯恢復後，又得幾個兒子？,7,約伯記 42:13
38,誰起初因未見釘痕而不信耶穌復活？,多馬,約翰福音20:25,以利亞在別是巴的曠野求死，那城是？,別是巴,列王紀上19:4,「保羅說：『我活著就是基督，我死了就有益處。』」出自哪一卷書？,腓立比書,腓立比書1:21,點燈所用的純淨液體必須用什麼榨出？,油,出埃及記 27:20,約拿在大魚腹中幾日幾夜？,3,約拿書 1:17
39,誰在以馬忤斯路上與復活的耶穌同行？,克流巴,路加福音24:18,羅得逃離所多瑪後居住的山洞靠近哪座小城？,瑣珥,創世記19:30,「使人和睦的人有福了，因為他們必稱為神的兒子。」出自哪一卷福音書？,馬太福音,馬太福音5:9,耶穌在伯大尼長大痲瘋的西門家，女人用來膏主的物體是什麼？,香膏,馬太福音 26:7,耶穌開始傳道時約幾歲？,30,路加福音 3:23
40,耶穌呼召哪一位稅吏離開稅關來跟從祂？,馬太,馬太福音9:9,保羅在路司得被當作希耳米神，那城在哪？,路司得,使徒行傳14:12,《以賽亞書》預言「有一嬰孩為我們而生」，祂名稱為「奇妙、策士、全能的神、永在的父、」什麼？,和平君,以賽亞書9:6,祭司進會幕前洗手洗腳的銅製器皿叫什麼？,洗濯盆,出埃及記 30:18,耶穌受洗後，在曠野禁食幾日？,40,馬太福音 4:2
41,誰是先知，與保羅同工，在腓立比被囚？,西拉,使徒行傳16:19-25,亞伯拉罕獻以撒的地點是哪座山？,摩利亞山,創世記22:2,「但以理被扔進獅子坑，神封住獅子的口。」出自哪一卷書？,但以理書,但以理書6:22,以利亞在迦密山築壇所用的材料是什麼？,石頭,列王紀上 18:31,耶穌在迦拿婚宴，有幾口石缸用來裝水？,6,約翰福音 2:6
42,誰預言保羅在耶路撒冷將被捆綁？,亞迦布,使徒行傳21:10-11,耶穌在哪座城被稱為“伯利恆的君王”？,伯利恆,馬太福音2:6,「聖靈所結的果子，第一樣是什麼？」,仁愛,加拉太書5:22,保羅在腓立比，呂底亞聽道後，她家所用的染料是什麼？,紫布,使徒行傳 16:14,耶穌選立多少位門徒，稱為使徒？,12,路加福音 6:13
43,誰在基立溪旁被烏鴉供養？,以利亞,列王紀上17:6,以斯帖在書珊城中為民冒險見王，那城是？,書珊,以斯帖記5:1-2,「聖靈和新婦都說：『來！』」出自哪一卷書？,啟示錄,啟示錄22:17,以利沙醫治乃縵後，拒絕收下的貴重禮物是什麼？,銀子,列王紀下 5:15,耶穌差遣多少人出去兩個兩個傳道？,72,路加福音 10:1
44,耶穌最初的門徒中，誰是加利利的漁夫？,彼得,馬太福音4:18,約書亞在吉甲與百姓立約，那地是？,吉甲,約書亞記4:19,「務要傳道，無論得時不得時。」出自哪一卷書？,提摩太後書,提摩太後書4:2,耶穌在加利利婚宴變水為酒所用的容器是什麼？,石缸,約翰福音 2:6,耶穌用五餅二魚餵飽四千人後，剩下裝滿多少筐？,7,馬太福音 15:37
45,誰是古利奈人西門的兒子，後來成為信徒？,亞歷山大,馬可福音15:21,彼得、安得烈和腓力的家鄉是哪座城？,伯賽大,約翰福音1:44,「信就是所望之事的實底，是未見之事的確據。」出自哪一卷書？,希伯來書,希伯來書11:1,耶穌在提比哩亞海邊，岸上已有什麼燃燒？,炭火,約翰福音 21:9,耶穌說祂必須被幾類人棄絕？,3,馬可福音 8:31
46,哪位被稱為「信心之父」，因信神能叫人從死裡復活？,亞伯拉罕,希伯來書11:19,保羅在雅典等候西拉和提摩太，那城是？,雅典,使徒行傳17:16,「約瑟被哥哥賣到埃及，耶和華與他同在。」出自哪一卷書？,創世記,創世記39:2,耶稣用什么医治了那个耳聋舌结的人？,唾沫,馬可福音 7:32,耶穌在客西馬尼園禱告幾次後，門徒仍睡著？,3,馬太福音 26:44
47,誰在何烈山看見 burning bush 中神的顯現？,摩西,出埃及記3:2-4,耶穌在哪座城被彼拉多鞭打？,耶路撒冷,馬太福音27:26,「耶穌在 Sunday清晨復活。」出自哪一卷福音書？,馬太福音,馬太福音28:1-6,上帝在洪水後設在天上的記號是什麼？,虹,創世記 9:13,彼得在雞叫以先，否認耶穌幾次？,3,馬太福音 26:34
48,誰娶兄弟之妻希羅底，被施洗約翰責備？,希律,馬可福音6:18,保羅在雅典向哲士傳道，那城是？,雅典,使徒行傳17:22,《啟示錄》又稱為什麼？,默示錄,啟示錄1:1,同樣，他用來消毒的另一種液體是什麼？,酒,路加福音 10:34,耶穌升天前，吩咐門徒在耶路撒冷等候幾日，直到聖靈降臨？,10,使徒行傳 1:3–5
49,誰是羅馬百夫長，因信全家得聖靈？,哥尼流,使徒行傳10:44-45,保羅在安提阿被差遣開始宣教，那城是？,安提阿,使徒行傳13:1-3,「以色列人過紅海，埃及軍兵被淹沒。」出自哪一卷書？,出埃及記,出埃及記14:28,耶穌被釘時，兵丁分祂沒有縫線的什麼？,裡衣,約翰福音 19:23,五旬節是從初熟節算起第幾日？,50,利未記 23:15–16
50,誰是便雅憫人，被揀選作以色列第一個王？,掃羅,撒母耳記上9:16-17,約書亞在哪座城與百姓立石為記？,吉甲,約書亞記4:20,「耶穌說：『你們要彼此相愛，像我愛你們一樣。』」出自哪一卷福音書？,約翰福音,約翰福音15:12,启示录中，盛滿香、代表眾聖徒祈禱的器叫什麼？,金爐,啟示錄 8:3,初代教會選出幾位執事管理飯食？,7,使徒行傳 6:3
51,誰因未在米利巴尊神為聖，不得進入應許之地？,摩西,民數記20:12,保羅在庇推尼被聖靈禁止傳道，那地在哪一省？,亞西亞,使徒行傳16:6,「愛是恆久忍耐，又有恩慈。」出自哪一卷書？,哥林多前書,哥林多前書13:4,上帝在曠野晚上賜下什麼鳥類作肉食？,鵪鶉,出埃及記 16:13,司提反是其中之一，共幾位？,7,使徒行傳 6:5
52,誰沉睡時，神取他一根肋骨造出妻子？,亞當,創世記2:21,耶穌在哪座城附近的西羅亞池醫治瞎子？,耶路撒冷,約翰福音9:7,「溫柔的人有福了，因為他們必承受地土。」出自哪一卷福音書？,馬太福音,馬太福音5:5,彼得在約帕房頂見異象時，從天降下的物體叫什麼？,大布,使徒行傳 10:11,耶穌吩咐十二使徒在路上不要帶幾件衣裳？,2,馬太福音 10:10
53,誰因拒絕敬拜金像，被扔進獅子坑卻安然無恙？,但以理,但以理書6:16-23,耶穌在哪座城附近的橄欖山預言聖殿被毀？,耶路撒冷,馬可福音13:1-2,「所以，你們要去，使萬民作我的門徒。」出自哪一卷福音書？,馬太福音,馬太福音28:19,耶穌在蓋房子的比喻中，聰明人把根基挖深直到什麼？,磐石,馬太福音 7:24,彼得後書說，主看千年如幾日？,1,彼得後書 3:8
54,誰對耶穌說：「你是基督，是永生神的兒子」？,彼得,馬太福音16:16,耶穌在哪座城附近的路上醫治了十個痲瘋病人？,耶路撒冷,路加福音17:11,「耶利哥的城牆因以色列人繞行而倒塌。」出自哪一卷書？,約書亞記,約書亞記6:20,摩西擊打後流出水來供百姓飲用的物體叫什麼？,磐石,出埃及記 17:6,約翰在拔摩海島見異象，基督站在幾個金燈臺中間？,7,啟示錄 1:13
55,誰在大祭司院子裡三次否認認識耶穌？,彼得,馬太福音26:69-75,以利亞在基立溪乾了之後，去了哪個寡婦的家？,撒勒法,列王紀上17:9,「你要盡心、盡性、盡意愛主你的神。」這話出自哪一卷書？,馬太福音,馬太福音22:37,耶穌被埋葬時裹身的潔白布料叫什麼？,細麻布,馬太福音 27:59,基督手中拿著幾封書信？,7,啟示錄 1:11
56,哪一位門徒與彼得、雅各一同見耶穌變像？,約翰,馬太福音17:1-2,保羅在特羅亞見到馬其頓異象，那城在哪？,特羅亞,使徒行傳16:8-9,「我赤身出於母胎，也必赤身歸回。」出自哪一卷書？,約伯記,約伯記1:21,他們放在耶穌右手、象徵王權的植物莖叫什麼？,葦子,馬太福音 27:29,七印揭開後，有幾位天使拿著七號？,7,啟示錄 8:2
57,誰是摩押王，雇巴蘭咒詛以色列？,巴勒,民數記22:2,但以理見四獸異象的地點是哪？,以攔,但以理書8:2,「彼得講道，三千人信主。」出自哪一卷書？,使徒行傳,使徒行傳2:41,耶穌在加利利海，用什麼使彼得網滿魚？,網,路加福音 5:6,七號之後，有幾位天使拿著七碗？,7,啟示錄 15:1
58,誰是大衛的兒子，因美貌和長髮聞名，後發動叛變？,押沙龍,撒母耳記下14:25-26,耶戶在耶斯列殺死耶洗別，那城在哪？,耶斯列,列王紀下9:30,「耶穌說：『無論何事，你們願意人怎樣待你們，你們也要怎樣待人。』」出自哪一卷福音書？,馬太福音,馬太福音7:12,以賽亞按照神指示行走三年所脫下的鞋叫什麼？,鞋子,以賽亞書 20:2,启示录中，有幾位天使掌管末後的七災？,7,啟示錄 15:6
59,誰在腓立比賣紫色布匹，信主後接待保羅？,呂底亞,使徒行傳16:14-15,耶穌在哪座城被彼拉多審問？,耶路撒冷,馬可福音15:1,「耶穌在橄欖山預言末世。」出自哪一卷福音書？,馬太福音,馬太福音24:3,喇合用來標記房屋、保護探子的繩子是什麼顏色？,紅線,約書亞記 2:18,約伯的三個朋友與他辯論共幾輪？,3,約伯記 4–27
60,誰在耶路撒冷會議主張接納外邦信徒？,雅各,使徒行傳15:13-19,耶穌在哪座城醫治了癱子並引起文士議論？,迦百農,馬可福音2:1-7,「我是阿拉法，我是俄梅戛。」出自哪一卷書？,啟示錄,啟示錄1:8,耶穌被兵丁戴上頭的尖銳冠冕是用什麼編成的？,荊棘,馬太福音 27:29,路加福音記載，耶穌降生時，女先知亞拿年紀多大？,84,路加福音 2:37
61,誰臨終前叫兒子們到床前，為他們祝福？,雅各,創世記49:1-2,末日大戰哈米吉多頓的場所在哪？,米吉多,啟示錄16:16,「耶穌說：『我是世界的光。』」出自哪一卷福音書？,約翰福音,約翰福音8:12,上帝與挪亞立約時設在雲中的記號是什麼？,虹,創世記 9:13,耶穌在撒瑪利亞井旁，婦人有幾個丈夫？,5,約翰福音 4:18
62,誰作以色列第一位君王，後來被神棄絕？,掃羅,撒母耳記上15:23,耶穌在哪座城教導“兇惡園戶”的比喻？,耶路撒冷,馬太福音21:33,「摩西登上尼波山，耶和華讓他看見應許之地。」出自哪一卷書？,申命記,申命記34:1,保羅和西拉在獄中禱告時，所戴的刑具是什麼？,鎖鍊,使徒行傳 16:26,耶穌在撒瑪利亞井旁，婦人現在同居的丈夫是第幾位？,6,約翰福音 4:18
63,誰因嫉妒大衛，多次試圖用槍刺他？,掃羅,撒母耳記上18:11,以利亞在基立溪旁被烏鴉供養，那溪在何處？,基立溪,列王紀上17:3,「施比受更為有福。」這話出自哪一卷書？,使徒行傳,使徒行傳20:35,路加福音中，婦人點燈尋找失落銀幣，她所用的照明工具是什麼？,燈,路加福音 15:8,耶穌在畢士大池醫治癱子，那人病了多少年？,38,約翰福音 5:5
64,誰在耶利哥呼求「大衛的子孫」可憐他？,巴底買,馬可福音10:47,耶穌在哪座城被孩童稱頌為彌賽亞？,耶路撒冷,馬太福音21:15,「耶穌說：『我愛你們，正如父愛我一樣。』」出自哪一卷福音書？,約翰福音,約翰福音15:9,但以理書中，肚腹和腰是什麼金屬？,銅,但以理書 2:32,耶穌在伯賽大醫治瞎子，吐唾沫在他眼睛幾次？,2,馬可福音 8:23–25
65,誰在該撒利亞向哥尼流一家傳道，開啟外邦人歸主之門？,彼得,使徒行傳10:1-48,耶穌在哪座城教導“財主與拉撒路”的比喻？,耶路撒冷,路加福音16:1,「耶穌說：『不要為生命憂慮吃什麼，喝什麼。』」出自哪一卷福音書？,馬太福音,馬太福音6:25,耶穌在五餅二魚神蹟後，吩咐門徒收什麼？,籃子,馬太福音 14:20,耶穌在變像山上，帶了幾位門徒同去？,3,馬太福音 17:1
66,誰在羅馬監獄中寫信給腓立比教會？,保羅,腓立比書4:1,耶穌在哪座城教導“好牧人”的比喻？,耶路撒冷,約翰福音10:1-18,「啟示錄說：『看哪，我將一切都更新了！』」出自哪一卷書？,啟示錄,啟示錄21:5,保羅在船上遇風暴時，水手用來捆綁船體的物件是什麼？,繩索,使徒行傳 27:17,山上有幾位舊約人物與耶穌說話？,2,馬太福音 17:3
67,誰因禱告得子撒母耳，並將他獻給耶和華？,哈拿,撒母耳記上1:27-28,耶穌在哪座山為耶路撒冷將來的毀滅哀哭？,橄欖山,路加福音19:41,「百基拉和亞居拉」以什麼為業？,帳棚匠,使徒行傳18:2-3,摩西娶妻時，岳父送他什麼動物？,驢,出埃及記 4:20,耶穌復活後，在加利利海邊向多少門徒顯現？,7,約翰福音 21:2
